tm_fc,tm_ef,ta_min,ta_max
202302021800,202302070000,0.0,8.0
202302021800,202302080000,-2.0,7.0
202302021800,202302090000,-1.0,6.0
202302021800,202302100000,0.0,7.0
202302021800,202302110000,0.0,7.0
202302021800,202302120000,-1.0,6.0
202302030600,202302060000,-2.0,8.0
202302030600,202302070000,0.0,8.0
202302030600,202302080000,-2.0,7.0
202302030600,202302090000,-2.0,6.0
202302030600,202302100000,0.0,7.0
202302030600,202302110000,0.0,7.0
202302030600,202302120000,-1.0,6.0
202302030600,202302130000,0.0,7.0
202302031800,202302060000,-2.0,8.0
202302031800,202302070000,0.0,9.0
202302031800,202302080000,-1.0,6.0
202302031800,202302090000,-3.0,7.0
202302031800,202302100000,0.0,5.0
202302031800,202302110000,0.0,7.0
202302031800,202302120000,-1.0,7.0
202302031800,202302130000,0.0,7.0
202302040600,202302070000,0.0,9.0
202302040600,202302080000,-1.0,6.0
202302040600,202302090000,-3.0,7.0
202302040600,202302100000,0.0,5.0
202302040600,202302110000,0.0,7.0
202302040600,202302120000,-1.0,7.0
202302040600,202302130000,0.0,7.0
202302040600,202302140000,-1.0,5.0
202302041800,202302070000,0.0,9.0
202302041800,202302080000,-1.0,6.0
202302041800,202302090000,-3.0,7.0
202302041800,202302100000,0.0,5.0
202302041800,202302110000,0.0,8.0
202302041800,202302120000,-1.0,7.0
202302041800,202302130000,0.0,7.0
202302041800,202302140000,-1.0,5.0
202302050600,202302080000,-1.0,7.0
202302050600,202302090000,-2.0,9.0
202302050600,202302100000,2.0,7.0
202302050600,202302110000,0.0,9.0
202302050600,202302120000,0.0,8.0
202302050600,202302130000,2.0,7.0
202302050600,202302140000,-2.0,5.0
202302050600,202302150000,-2.0,6.0
202302051800,202302080000,-1.0,7.0
202302051800,202302090000,-2.0,9.0
202302051800,202302100000,2.0,7.0
202302051800,202302110000,0.0,9.0
202302051800,202302120000,0.0,8.0
202302051800,202302130000,2.0,7.0
202302051800,202302140000,-2.0,5.0
202302051800,202302150000,-2.0,6.0
202302060600,202302090000,-2.0,9.0
202302060600,202302100000,2.0,6.0
202302060600,202302110000,0.0,9.0
202302060600,202302120000,1.0,7.0
202302060600,202302130000,2.0,8.0
202302060600,202302140000,-2.0,4.0
202302060600,202302150000,-3.0,5.0
202302060600,202302160000,-2.0,6.0
202302061800,202302090000,-3.0,9.0
202302061800,202302100000,2.0,6.0
202302061800,202302110000,0.0,9.0
202302061800,202302120000,1.0,7.0
202302061800,202302130000,2.0,8.0
202302061800,202302140000,-3.0,4.0
202302061800,202302150000,-3.0,5.0
202302061800,202302160000,-3.0,6.0
